uid,group_id,step,country,category,sub_category,variant,question,expected_answer,actual_answer,question_rationale
sd35_china_architecture_house_modern::step0,sd35_china_architecture_house_modern,step0,china,architecture,house,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::step0,sd35_china_architecture_house_modern,step0,china,architecture,house,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::1,sd35_china_architecture_house_modern,1,china,architecture,house,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::1,sd35_china_architecture_house_modern,1,china,architecture,house,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::1,sd35_china_architecture_house_modern,1,china,architecture,house,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::1,sd35_china_architecture_house_modern,1,china,architecture,house,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::2,sd35_china_architecture_house_modern,2,china,architecture,house,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::2,sd35_china_architecture_house_modern,2,china,architecture,house,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::2,sd35_china_architecture_house_modern,2,china,architecture,house,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::2,sd35_china_architecture_house_modern,2,china,architecture,house,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::3,sd35_china_architecture_house_modern,3,china,architecture,house,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::3,sd35_china_architecture_house_modern,3,china,architecture,house,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::3,sd35_china_architecture_house_modern,3,china,architecture,house,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::3,sd35_china_architecture_house_modern,3,china,architecture,house,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::4,sd35_china_architecture_house_modern,4,china,architecture,house,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::4,sd35_china_architecture_house_modern,4,china,architecture,house,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::4,sd35_china_architecture_house_modern,4,china,architecture,house,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::4,sd35_china_architecture_house_modern,4,china,architecture,house,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::5,sd35_china_architecture_house_modern,5,china,architecture,house,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::5,sd35_china_architecture_house_modern,5,china,architecture,house,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::5,sd35_china_architecture_house_modern,5,china,architecture,house,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::5,sd35_china_architecture_house_modern,5,china,architecture,house,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_house_traditional::step0,sd35_china_architecture_house_traditional,step0,china,architecture,house,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::step0,sd35_china_architecture_house_traditional,step0,china,architecture,house,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::step0,sd35_china_architecture_house_traditional,step0,china,architecture,house,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::step0,sd35_china_architecture_house_traditional,step0,china,architecture,house,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::1,sd35_china_architecture_house_traditional,1,china,architecture,house,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::1,sd35_china_architecture_house_traditional,1,china,architecture,house,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::1,sd35_china_architecture_house_traditional,1,china,architecture,house,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::1,sd35_china_architecture_house_traditional,1,china,architecture,house,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::2,sd35_china_architecture_house_traditional,2,china,architecture,house,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::2,sd35_china_architecture_house_traditional,2,china,architecture,house,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::2,sd35_china_architecture_house_traditional,2,china,architecture,house,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::2,sd35_china_architecture_house_traditional,2,china,architecture,house,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::3,sd35_china_architecture_house_traditional,3,china,architecture,house,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::3,sd35_china_architecture_house_traditional,3,china,architecture,house,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::3,sd35_china_architecture_house_traditional,3,china,architecture,house,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::3,sd35_china_architecture_house_traditional,3,china,architecture,house,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::4,sd35_china_architecture_house_traditional,4,china,architecture,house,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::4,sd35_china_architecture_house_traditional,4,china,architecture,house,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::4,sd35_china_architecture_house_traditional,4,china,architecture,house,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::4,sd35_china_architecture_house_traditional,4,china,architecture,house,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::5,sd35_china_architecture_house_traditional,5,china,architecture,house,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::5,sd35_china_architecture_house_traditional,5,china,architecture,house,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::5,sd35_china_architecture_house_traditional,5,china,architecture,house,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_house_traditional::5,sd35_china_architecture_house_traditional,5,china,architecture,house,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_general::step0,sd35_china_architecture_landmark_general,step0,china,architecture,landmark,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::step0,sd35_china_architecture_landmark_general,step0,china,architecture,landmark,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::step0,sd35_china_architecture_landmark_general,step0,china,architecture,landmark,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::step0,sd35_china_architecture_landmark_general,step0,china,architecture,landmark,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::1,sd35_china_architecture_landmark_general,1,china,architecture,landmark,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::1,sd35_china_architecture_landmark_general,1,china,architecture,landmark,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::1,sd35_china_architecture_landmark_general,1,china,architecture,landmark,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::1,sd35_china_architecture_landmark_general,1,china,architecture,landmark,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::2,sd35_china_architecture_landmark_general,2,china,architecture,landmark,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::2,sd35_china_architecture_landmark_general,2,china,architecture,landmark,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::2,sd35_china_architecture_landmark_general,2,china,architecture,landmark,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::2,sd35_china_architecture_landmark_general,2,china,architecture,landmark,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::3,sd35_china_architecture_landmark_general,3,china,architecture,landmark,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::3,sd35_china_architecture_landmark_general,3,china,architecture,landmark,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::3,sd35_china_architecture_landmark_general,3,china,architecture,landmark,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::3,sd35_china_architecture_landmark_general,3,china,architecture,landmark,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::4,sd35_china_architecture_landmark_general,4,china,architecture,landmark,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::4,sd35_china_architecture_landmark_general,4,china,architecture,landmark,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::4,sd35_china_architecture_landmark_general,4,china,architecture,landmark,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::4,sd35_china_architecture_landmark_general,4,china,architecture,landmark,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::5,sd35_china_architecture_landmark_general,5,china,architecture,landmark,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::5,sd35_china_architecture_landmark_general,5,china,architecture,landmark,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::5,sd35_china_architecture_landmark_general,5,china,architecture,landmark,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_general::5,sd35_china_architecture_landmark_general,5,china,architecture,landmark,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_landmark_modern::step0,sd35_china_architecture_landmark_modern,step0,china,architecture,landmark,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::step0,sd35_china_architecture_landmark_modern,step0,china,architecture,landmark,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::step0,sd35_china_architecture_landmark_modern,step0,china,architecture,landmark,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::step0,sd35_china_architecture_landmark_modern,step0,china,architecture,landmark,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::1,sd35_china_architecture_landmark_modern,1,china,architecture,landmark,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::1,sd35_china_architecture_landmark_modern,1,china,architecture,landmark,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::1,sd35_china_architecture_landmark_modern,1,china,architecture,landmark,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::1,sd35_china_architecture_landmark_modern,1,china,architecture,landmark,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::2,sd35_china_architecture_landmark_modern,2,china,architecture,landmark,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::2,sd35_china_architecture_landmark_modern,2,china,architecture,landmark,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::2,sd35_china_architecture_landmark_modern,2,china,architecture,landmark,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::2,sd35_china_architecture_landmark_modern,2,china,architecture,landmark,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::3,sd35_china_architecture_landmark_modern,3,china,architecture,landmark,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::3,sd35_china_architecture_landmark_modern,3,china,architecture,landmark,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::3,sd35_china_architecture_landmark_modern,3,china,architecture,landmark,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::3,sd35_china_architecture_landmark_modern,3,china,architecture,landmark,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::4,sd35_china_architecture_landmark_modern,4,china,architecture,landmark,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::4,sd35_china_architecture_landmark_modern,4,china,architecture,landmark,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::4,sd35_china_architecture_landmark_modern,4,china,architecture,landmark,modern,Does the building reflect modern china urban development and lifestyle?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::4,sd35_china_architecture_landmark_modern,4,china,architecture,landmark,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::5,sd35_china_architecture_landmark_modern,5,china,architecture,landmark,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::5,sd35_china_architecture_landmark_modern,5,china,architecture,landmark,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::5,sd35_china_architecture_landmark_modern,5,china,architecture,landmark,modern,Does the building reflect modern china urban development and lifestyle?,yes,yes,Template-based question for architecture modern in china
sd35_china_architecture_landmark_modern::5,sd35_china_architecture_landmark_modern,5,china,architecture,landmark,modern,Does the design ignore modern china architectural innovations and trends?,no,no,Template-based question for architecture modern in china
sd35_china_architecture_landmark_traditional::step0,sd35_china_architecture_landmark_traditional,step0,china,architecture,landmark,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::step0,sd35_china_architecture_landmark_traditional,step0,china,architecture,landmark,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::step0,sd35_china_architecture_landmark_traditional,step0,china,architecture,landmark,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::step0,sd35_china_architecture_landmark_traditional,step0,china,architecture,landmark,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::1,sd35_china_architecture_landmark_traditional,1,china,architecture,landmark,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::1,sd35_china_architecture_landmark_traditional,1,china,architecture,landmark,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::1,sd35_china_architecture_landmark_traditional,1,china,architecture,landmark,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::1,sd35_china_architecture_landmark_traditional,1,china,architecture,landmark,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::2,sd35_china_architecture_landmark_traditional,2,china,architecture,landmark,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::2,sd35_china_architecture_landmark_traditional,2,china,architecture,landmark,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::2,sd35_china_architecture_landmark_traditional,2,china,architecture,landmark,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::2,sd35_china_architecture_landmark_traditional,2,china,architecture,landmark,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::3,sd35_china_architecture_landmark_traditional,3,china,architecture,landmark,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::3,sd35_china_architecture_landmark_traditional,3,china,architecture,landmark,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::3,sd35_china_architecture_landmark_traditional,3,china,architecture,landmark,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::3,sd35_china_architecture_landmark_traditional,3,china,architecture,landmark,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::4,sd35_china_architecture_landmark_traditional,4,china,architecture,landmark,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::4,sd35_china_architecture_landmark_traditional,4,china,architecture,landmark,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::4,sd35_china_architecture_landmark_traditional,4,china,architecture,landmark,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::4,sd35_china_architecture_landmark_traditional,4,china,architecture,landmark,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::5,sd35_china_architecture_landmark_traditional,5,china,architecture,landmark,traditional,Does the architecture show traditional china building styles and materials?,yes,yes,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::5,sd35_china_architecture_landmark_traditional,5,china,architecture,landmark,traditional,Are there modern Western architectural elements that contradict traditional china design?,no,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::5,sd35_china_architecture_landmark_traditional,5,china,architecture,landmark,traditional,Does the structure incorporate traditional china cultural motifs or decorative elements?,yes,no,Template-based question for architecture traditional in china
sd35_china_architecture_landmark_traditional::5,sd35_china_architecture_landmark_traditional,5,china,architecture,landmark,traditional,Are there elements that clash with historical china architectural principles?,no,no,Template-based question for architecture traditional in china
sd35_china_art_dance_general::step0,sd35_china_art_dance_general,step0,china,art,dance,general,Does the artwork represent china cultural aesthetic values?,yes,no,Template-based question for art general in china
sd35_china_art_dance_general::step0,sd35_china_art_dance_general,step0,china,art,dance,general,Are there foreign artistic influences unrelated to china culture?,no,no,Template-based question for art general in china
sd35_china_art_dance_general::step0,sd35_china_art_dance_general,step0,china,art,dance,general,Would this artwork be recognizable as reflecting china artistic heritage?,yes,no,Template-based question for art general in china
sd35_china_art_dance_general::step0,sd35_china_art_dance_general,step0,china,art,dance,general,Are there elements that would be culturally inappropriate in china art?,no,no,Template-based question for art general in china
sd35_china_art_dance_general::1,sd35_china_art_dance_general,1,china,art,dance,general,Does the artwork represent china cultural aesthetic values?,yes,no,Template-based question for art general in china
sd35_china_art_dance_general::1,sd35_china_art_dance_general,1,china,art,dance,general,Are there foreign artistic influences unrelated to china culture?,no,no,Template-based question for art general in china
sd35_china_art_dance_general::1,sd35_china_art_dance_general,1,china,art,dance,general,Would this artwork be recognizable as reflecting china artistic heritage?,yes,no,Template-based question for art general in china
sd35_china_art_dance_general::1,sd35_china_art_dance_general,1,china,art,dance,general,Are there elements that would be culturally inappropriate in china art?,no,no,Template-based question for art general in china
sd35_china_art_dance_general::2,sd35_china_art_dance_general,2,china,art,dance,general,Does the artwork represent china cultural aesthetic values?,yes,no,Template-based question for art general in china
sd35_china_art_dance_general::2,sd35_china_art_dance_general,2,china,art,dance,general,Are there foreign artistic influences unrelated to china culture?,no,no,Template-based question for art general in china
sd35_china_art_dance_general::2,sd35_china_art_dance_general,2,china,art,dance,general,Would this artwork be recognizable as reflecting china artistic heritage?,yes,no,Template-based question for art general in china
sd35_china_art_dance_general::2,sd35_china_art_dance_general,2,china,art,dance,general,Are there elements that would be culturally inappropriate in china art?,no,no,Template-based question for art general in china
sd35_china_art_dance_general::3,sd35_china_art_dance_general,3,china,art,dance,general,Does the artwork represent china cultural aesthetic values?,yes,no,Template-based question for art general in china
sd35_china_art_dance_general::3,sd35_china_art_dance_general,3,china,art,dance,general,Are there foreign artistic influences unrelated to china culture?,no,no,Template-based question for art general in china
sd35_china_art_dance_general::3,sd35_china_art_dance_general,3,china,art,dance,general,Would this artwork be recognizable as reflecting china artistic heritage?,yes,no,Template-based question for art general in china
