T2I prompt,I2I prompt,base,edit_1,edit_2,edit_3,edit_4,edit_5
"Modern painting in China, photorealistic.",Change the image to represent modern painting in China.,base/hidream_china_art_painting_modern.png,edit_1/hidream_china_art_painting_modern_1.png,edit_2/hidream_china_art_painting_modern_2.png,edit_3/hidream_china_art_painting_modern_3.png,edit_4/hidream_china_art_painting_modern_4.png,edit_5/hidream_china_art_painting_modern_5.png
"Traditional painting in China, photorealistic.",Change the image to represent traditional painting in China.,base/hidream_china_art_painting_traditional.png,edit_1/hidream_china_art_painting_traditional_1.png,edit_2/hidream_china_art_painting_traditional_2.png,edit_3/hidream_china_art_painting_traditional_3.png,edit_4/hidream_china_art_painting_traditional_4.png,edit_5/hidream_china_art_painting_traditional_5.png
"Sculpture in China, photorealistic.",Change the image to represent sculpture in China.,base/hidream_china_art_sculpture_general.png,edit_1/hidream_china_art_sculpture_general_1.png,edit_2/hidream_china_art_sculpture_general_2.png,edit_3/hidream_china_art_sculpture_general_3.png,edit_4/hidream_china_art_sculpture_general_4.png,edit_5/hidream_china_art_sculpture_general_5.png
"Modern sculpture in China, photorealistic.",Change the image to represent modern sculpture in China.,base/hidream_china_art_sculpture_modern.png,edit_1/hidream_china_art_sculpture_modern_1.png,edit_2/hidream_china_art_sculpture_modern_2.png,edit_3/hidream_china_art_sculpture_modern_3.png,edit_4/hidream_china_art_sculpture_modern_4.png,edit_5/hidream_china_art_sculpture_modern_5.png
"Traditional sculpture in China, photorealistic.",Change the image to represent traditional sculpture in China.,base/hidream_china_art_sculpture_traditional.png,edit_1/hidream_china_art_sculpture_traditional_1.png,edit_2/hidream_china_art_sculpture_traditional_2.png,edit_3/hidream_china_art_sculpture_traditional_3.png,edit_4/hidream_china_art_sculpture_traditional_4.png,edit_5/hidream_china_art_sculpture_traditional_5.png
"Festival in China, photorealistic.",Change the image to represent festival in China.,base/hidream_china_event_festival_general.png,edit_1/hidream_china_event_festival_general_1.png,edit_2/hidream_china_event_festival_general_2.png,edit_3/hidream_china_event_festival_general_3.png,edit_4/hidream_china_event_festival_general_4.png,edit_5/hidream_china_event_festival_general_5.png
"Modern festival in China, photorealistic.",Change the image to represent modern festival in China.,base/hidream_china_event_festival_modern.png,edit_1/hidream_china_event_festival_modern_1.png,edit_2/hidream_china_event_festival_modern_2.png,edit_3/hidream_china_event_festival_modern_3.png,edit_4/hidream_china_event_festival_modern_4.png,edit_5/hidream_china_event_festival_modern_5.png
"Traditional festival in China, photorealistic.",Change the image to represent traditional festival in China.,base/hidream_china_event_festival_traditional.png,edit_1/hidream_china_event_festival_traditional_1.png,edit_2/hidream_china_event_festival_traditional_2.png,edit_3/hidream_china_event_festival_traditional_3.png,edit_4/hidream_china_event_festival_traditional_4.png,edit_5/hidream_china_event_festival_traditional_5.png
"Funeral in China, photorealistic.",Change the image to represent funeral in China.,base/hidream_china_event_funeral_general.png,edit_1/hidream_china_event_funeral_general_1.png,edit_2/hidream_china_event_funeral_general_2.png,edit_3/hidream_china_event_funeral_general_3.png,edit_4/hidream_china_event_funeral_general_4.png,edit_5/hidream_china_event_funeral_general_5.png
"Modern funeral in China, photorealistic.",Change the image to represent modern funeral in China.,base/hidream_china_event_funeral_modern.png,edit_1/hidream_china_event_funeral_modern_1.png,edit_2/hidream_china_event_funeral_modern_2.png,edit_3/hidream_china_event_funeral_modern_3.png,edit_4/hidream_china_event_funeral_modern_4.png,edit_5/hidream_china_event_funeral_modern_5.png
"Traditional funeral in China, photorealistic.",Change the image to represent traditional funeral in China.,base/hidream_china_event_funeral_traditional.png,edit_1/hidream_china_event_funeral_traditional_1.png,edit_2/hidream_china_event_funeral_traditional_2.png,edit_3/hidream_china_event_funeral_traditional_3.png,edit_4/hidream_china_event_funeral_traditional_4.png,edit_5/hidream_china_event_funeral_traditional_5.png
"Game in China, photorealistic.",Change the image to represent game in China.,base/hidream_china_event_game_general.png,edit_1/hidream_china_event_game_general_1.png,edit_2/hidream_china_event_game_general_2.png,edit_3/hidream_china_event_game_general_3.png,edit_4/hidream_china_event_game_general_4.png,edit_5/hidream_china_event_game_general_5.png
"Modern game in China, photorealistic.",Change the image to represent modern game in China.,base/hidream_china_event_game_modern.png,edit_1/hidream_china_event_game_modern_1.png,edit_2/hidream_china_event_game_modern_2.png,edit_3/hidream_china_event_game_modern_3.png,edit_4/hidream_china_event_game_modern_4.png,edit_5/hidream_china_event_game_modern_5.png
"Traditional game in China, photorealistic.",Change the image to represent traditional game in China.,base/hidream_china_event_game_traditional.png,edit_1/hidream_china_event_game_traditional_1.png,edit_2/hidream_china_event_game_traditional_2.png,edit_3/hidream_china_event_game_traditional_3.png,edit_4/hidream_china_event_game_traditional_4.png,edit_5/hidream_china_event_game_traditional_5.png
"Religious ritual in China, photorealistic.",Change the image to represent religious ritual in China.,base/hidream_china_event_religious_ritual_general.png,edit_1/hidream_china_event_religious_ritual_general_1.png,edit_2/hidream_china_event_religious_ritual_general_2.png,edit_3/hidream_china_event_religious_ritual_general_3.png,edit_4/hidream_china_event_religious_ritual_general_4.png,edit_5/hidream_china_event_religious_ritual_general_5.png
"Modern eligious ritual in China, photorealistic.",Change the image to represent modern religious ritual in China.,base/hidream_china_event_religious_ritual_modern.png,edit_1/hidream_china_event_religious_ritual_modern_1.png,edit_2/hidream_china_event_religious_ritual_modern_2.png,edit_3/hidream_china_event_religious_ritual_modern_3.png,edit_4/hidream_china_event_religious_ritual_modern_4.png,edit_5/hidream_china_event_religious_ritual_modern_5.png
"Traditional religious ritual in China, photorealistic.",Change the image to represent traditional religious ritual in China.,base/hidream_china_event_religious_ritual_traditional.png,edit_1/hidream_china_event_religious_ritual_traditional_1.png,edit_2/hidream_china_event_religious_ritual_traditional_2.png,edit_3/hidream_china_event_religious_ritual_traditional_3.png,edit_4/hidream_china_event_religious_ritual_traditional_4.png,edit_5/hidream_china_event_religious_ritual_traditional_5.png
"Sport in China, photorealistic.",Change the image to represent sport in China.,base/hidream_china_event_sport_general.png,edit_1/hidream_china_event_sport_general_1.png,edit_2/hidream_china_event_sport_general_2.png,edit_3/hidream_china_event_sport_general_3.png,edit_4/hidream_china_event_sport_general_4.png,edit_5/hidream_china_event_sport_general_5.png
"Modern sport in China, photorealistic.",Change the image to represent modern sport in China.,base/hidream_china_event_sport_modern.png,edit_1/hidream_china_event_sport_modern_1.png,edit_2/hidream_china_event_sport_modern_2.png,edit_3/hidream_china_event_sport_modern_3.png,edit_4/hidream_china_event_sport_modern_4.png,edit_5/hidream_china_event_sport_modern_5.png
"Traditional sport in China, photorealistic.",Change the image to represent traditional sport in China.,base/hidream_china_event_sport_traditional.png,edit_1/hidream_china_event_sport_traditional_1.png,edit_2/hidream_china_event_sport_traditional_2.png,edit_3/hidream_china_event_sport_traditional_3.png,edit_4/hidream_china_event_sport_traditional_4.png,edit_5/hidream_china_event_sport_traditional_5.png
"Wedding in China, photorealistic.",Change the image to represent wedding in China.,base/hidream_china_event_wedding_general.png,edit_1/hidream_china_event_wedding_general_1.png,edit_2/hidream_china_event_wedding_general_2.png,edit_3/hidream_china_event_wedding_general_3.png,edit_4/hidream_china_event_wedding_general_4.png,edit_5/hidream_china_event_wedding_general_5.png
"Modern wedding in China, photorealistic.",Change the image to represent modern wedding in China.,base/hidream_china_event_wedding_modern.png,edit_1/hidream_china_event_wedding_modern_1.png,edit_2/hidream_china_event_wedding_modern_2.png,edit_3/hidream_china_event_wedding_modern_3.png,edit_4/hidream_china_event_wedding_modern_4.png,edit_5/hidream_china_event_wedding_modern_5.png
"Traditional wedding in China, photorealistic.",Change the image to represent traditional wedding in China.,base/hidream_china_event_wedding_traditional.png,edit_1/hidream_china_event_wedding_traditional_1.png,edit_2/hidream_china_event_wedding_traditional_2.png,edit_3/hidream_china_event_wedding_traditional_3.png,edit_4/hidream_china_event_wedding_traditional_4.png,edit_5/hidream_china_event_wedding_traditional_5.png
"Accessories in China, photorealistic.",Change the image to represent accessories in China.,base/hidream_china_fashion_accessories_general.png,edit_1/hidream_china_fashion_accessories_general_1.png,edit_2/hidream_china_fashion_accessories_general_2.png,edit_3/hidream_china_fashion_accessories_general_3.png,edit_4/hidream_china_fashion_accessories_general_4.png,edit_5/hidream_china_fashion_accessories_general_5.png
"Modern accessories in China, photorealistic.",Change the image to represent modern accessories in China.,base/hidream_china_fashion_accessories_modern.png,edit_1/hidream_china_fashion_accessories_modern_1.png,edit_2/hidream_china_fashion_accessories_modern_2.png,edit_3/hidream_china_fashion_accessories_modern_3.png,edit_4/hidream_china_fashion_accessories_modern_4.png,edit_5/hidream_china_fashion_accessories_modern_5.png
"Traditional accessories in China, photorealistic.",Change the image to represent traditional accessories in China.,base/hidream_china_fashion_accessories_traditional.png,edit_1/hidream_china_fashion_accessories_traditional_1.png,edit_2/hidream_china_fashion_accessories_traditional_2.png,edit_3/hidream_china_fashion_accessories_traditional_3.png,edit_4/hidream_china_fashion_accessories_traditional_4.png,edit_5/hidream_china_fashion_accessories_traditional_5.png
"Clothing in China, photorealistic.",Change the image to represent clothing in China.,base/hidream_china_fashion_clothing_general.png,edit_1/hidream_china_fashion_clothing_general_1.png,edit_2/hidream_china_fashion_clothing_general_2.png,edit_3/hidream_china_fashion_clothing_general_3.png,edit_4/hidream_china_fashion_clothing_general_4.png,edit_5/hidream_china_fashion_clothing_general_5.png
"Modern clothing in China, photorealistic.",Change the image to represent modern clothing in China.,base/hidream_china_fashion_clothing_modern.png,edit_1/hidream_china_fashion_clothing_modern_1.png,edit_2/hidream_china_fashion_clothing_modern_2.png,edit_3/hidream_china_fashion_clothing_modern_3.png,edit_4/hidream_china_fashion_clothing_modern_4.png,edit_5/hidream_china_fashion_clothing_modern_5.png
"Traditional clothing in China, photorealistic.",Change the image to represent traditional clothing in China.,base/hidream_china_fashion_clothing_traditional.png,edit_1/hidream_china_fashion_clothing_traditional_1.png,edit_2/hidream_china_fashion_clothing_traditional_2.png,edit_3/hidream_china_fashion_clothing_traditional_3.png,edit_4/hidream_china_fashion_clothing_traditional_4.png,edit_5/hidream_china_fashion_clothing_traditional_5.png
"Makeup in China, photorealistic.",Change the image to represent makeup in China.,base/hidream_china_fashion_makeup_general.png,edit_1/hidream_china_fashion_makeup_general_1.png,edit_2/hidream_china_fashion_makeup_general_2.png,edit_3/hidream_china_fashion_makeup_general_3.png,edit_4/hidream_china_fashion_makeup_general_4.png,edit_5/hidream_china_fashion_makeup_general_5.png
"Modern makeup in China, photorealistic.",Change the image to represent modern makeup in China.,base/hidream_china_fashion_makeup_modern.png,edit_1/hidream_china_fashion_makeup_modern_1.png,edit_2/hidream_china_fashion_makeup_modern_2.png,edit_3/hidream_china_fashion_makeup_modern_3.png,edit_4/hidream_china_fashion_makeup_modern_4.png,edit_5/hidream_china_fashion_makeup_modern_5.png
"Traditional makeup in China, photorealistic.",Change the image to represent traditional makeup in China.,base/hidream_china_fashion_makeup_traditional.png,edit_1/hidream_china_fashion_makeup_traditional_1.png,edit_2/hidream_china_fashion_makeup_traditional_2.png,edit_3/hidream_china_fashion_makeup_traditional_3.png,edit_4/hidream_china_fashion_makeup_traditional_4.png,edit_5/hidream_china_fashion_makeup_traditional_5.png
"Beverage in China, photorealistic.",Change the image to represent beverage in China.,base/hidream_china_food_beverage_general.png,edit_1/hidream_china_food_beverage_general_1.png,edit_2/hidream_china_food_beverage_general_2.png,edit_3/hidream_china_food_beverage_general_3.png,edit_4/hidream_china_food_beverage_general_4.png,edit_5/hidream_china_food_beverage_general_5.png
"Modern beverage in China, photorealistic.",Change the image to represent modern beverage in China.,base/hidream_china_food_beverage_modern.png,edit_1/hidream_china_food_beverage_modern_1.png,edit_2/hidream_china_food_beverage_modern_2.png,edit_3/hidream_china_food_beverage_modern_3.png,edit_4/hidream_china_food_beverage_modern_4.png,edit_5/hidream_china_food_beverage_modern_5.png
"Traditional beverage in China, photorealistic.",Change the image to represent traditional beverage in China.,base/hidream_china_food_beverage_traditional.png,edit_1/hidream_china_food_beverage_traditional_1.png,edit_2/hidream_china_food_beverage_traditional_2.png,edit_3/hidream_china_food_beverage_traditional_3.png,edit_4/hidream_china_food_beverage_traditional_4.png,edit_5/hidream_china_food_beverage_traditional_5.png
"Dessert in China, photorealistic.",Change the image to represent dessert in China.,base/hidream_china_food_dessert_general.png,edit_1/hidream_china_food_dessert_general_1.png,edit_2/hidream_china_food_dessert_general_2.png,edit_3/hidream_china_food_dessert_general_3.png,edit_4/hidream_china_food_dessert_general_4.png,edit_5/hidream_china_food_dessert_general_5.png
"Modern dessert in China, photorealistic.",Change the image to represent modern dessert in China.,base/hidream_china_food_dessert_modern.png,edit_1/hidream_china_food_dessert_modern_1.png,edit_2/hidream_china_food_dessert_modern_2.png,edit_3/hidream_china_food_dessert_modern_3.png,edit_4/hidream_china_food_dessert_modern_4.png,edit_5/hidream_china_food_dessert_modern_5.png
"Traditional dessert in China, photorealistic.",Change the image to represent traditional dessert in China.,base/hidream_china_food_dessert_traditional.png,edit_1/hidream_china_food_dessert_traditional_1.png,edit_2/hidream_china_food_dessert_traditional_2.png,edit_3/hidream_china_food_dessert_traditional_3.png,edit_4/hidream_china_food_dessert_traditional_4.png,edit_5/hidream_china_food_dessert_traditional_5.png
"Main dish in China, photorealistic.",Change the image to represent main dish in China.,base/hidream_china_food_main_dish_general.png,edit_1/hidream_china_food_main_dish_general_1.png,edit_2/hidream_china_food_main_dish_general_2.png,edit_3/hidream_china_food_main_dish_general_3.png,edit_4/hidream_china_food_main_dish_general_4.png,edit_5/hidream_china_food_main_dish_general_5.png
"Modern main dish in China, photorealistic.",Change the image to represent modern main dish in China.,base/hidream_china_food_main_dish_modern.png,edit_1/hidream_china_food_main_dish_modern_1.png,edit_2/hidream_china_food_main_dish_modern_2.png,edit_3/hidream_china_food_main_dish_modern_3.png,edit_4/hidream_china_food_main_dish_modern_4.png,edit_5/hidream_china_food_main_dish_modern_5.png
